All episodes rewards:
Episode 70: -240.5 points
Episode 71: -335.0 points
Episode 72: -338.0 points
Episode 73: -329.0 points
Episode 74: -286.0 points
Episode 75: 245.0 points
Episode 76: -45.0 points
Episode 77: -394.5 points
Episode 78: 372.5 points
Episode 79: 31.0 points
Episode 80: -501.5 points
Episode 81: -481.0 points
Episode 82: -439.5 points
Episode 83: 229.0 points
Episode 84: -443.0 points
Episode 85: -472.0 points
Episode 86: -299.0 points
Episode 87: -292.0 points
Episode 88: -402.0 points
Episode 89: -457.0 points
Episode 90: -493.5 points
Episode 91: -485.5 points
Episode 92: -372.0 points
Episode 93: -305.5 points
Episode 94: -521.0 points
Episode 95: -264.5 points
Episode 96: -296.0 points
Episode 97: -387.5 points
Episode 98: -252.0 points
Episode 99: -382.5 points
Episode 100: -461.0 points
